"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","MCS index","Data rate","Info"
"827","80.025396","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2917, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"828","80.127784","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-60 dBm","-93 dBm","33 dB","","6","Beacon frame, SN=2918, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"829","80.230213","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2919, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"830","80.332609","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-60 dBm","-93 dBm","33 dB","","6","Beacon frame, SN=2920, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"831","80.434980","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-60 dBm","-93 dBm","33 dB","","6","Beacon frame, SN=2921, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"832","80.537429","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2922, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"833","80.639796","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2923, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"834","80.742217","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2924, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"835","80.844587","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2925, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"836","80.946854","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-60 dBm","-93 dBm","33 dB","","6","Beacon frame, SN=2926, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"837","81.049407","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-59 dBm","-93 dBm","34 dB","","6","Beacon frame, SN=2927, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"838","81.151803","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2928, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"839","81.254245","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2929, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"840","81.356603","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2930, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"841","81.459003","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2931, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"842","81.561487","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2932, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"843","81.663828","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2933, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"844","81.766250","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2934, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"845","81.868595","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2935, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"846","81.971016","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2936, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"847","82.073410","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2937, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"848","82.175824","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2938, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"849","82.278223","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-58 dBm","-93 dBm","35 dB","","6","Beacon frame, SN=2939, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"850","82.380604","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2940, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"852","82.483064","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2942, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"853","82.585404","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2943, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"854","82.687828","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2944, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"855","82.790223","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2945, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"856","82.892640","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-56 dBm","-93 dBm","37 dB","","6","Beacon frame, SN=2946, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"857","82.994798","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2947, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"858","83.097401","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2948, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"859","83.199895","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2949, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"860","83.302215","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2950, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"861","83.404632","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2951, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"862","83.507035","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2952, FN=0, Flags=........C, BI=100, SSID=Z5241154"
"863","83.609414","ae:84:fd:a9:aa:1d","Broadcast","802.11","426","-57 dBm","-93 dBm","36 dB","","6","Beacon frame, SN=2953, FN=0, Flags=........C, BI=100, SSID=Z5241154"
